Public Food Key,Classification,Food Name,Price ($/100g), Price / item ,Weight / item (g),"Energy with dietary fibre, equated 
(kJ)","Energy, without dietary fibre, equated 
(kJ)","Moisture (water) 
(g)","Protein 
(g)","Fat, total 
(g)","Total dietary fibre 
(g)","Alcohol 
(g)",Total sugars (g),Added sugars (g),"Available carbohydrate, with sugar alcohols 
(g)","Aluminium (Al) 
(ug)","Antimony (Sb) 
(ug)","Arsenic (As) 
(ug)","Cadmium (Cd) 
(ug)","Calcium (Ca) 
(mg)","Chromium (Cr) 
(ug)","Chloride (Cl) 
(mg)","Cobalt (Co) 
(ug)","Copper (Cu) 
(mg)","Fluoride (F) 
(ug)","Iodine (I) 
(ug)","Iron (Fe) 
(mg)","Lead (Pb) 
(ug)","Magnesium (Mg) 
(mg)","Manganese (Mn) 
(mg)","Mercury (Hg) 
(ug)","Molybdenum (Mo) 
(ug)","Nickel (Ni) 
(ug)","Phosphorus (P) 
(mg)","Potassium (K) 
(mg)","Selenium (Se) 
(ug)","Sodium (Na) 
(mg)","Sulphur (S) 
(mg)","Tin (Sn) 
(ug)","Zinc (Zn) 
(mg)","Vitamin A retinol equivalents 
(ug)","Thiamin (B1) 
(mg)","Riboflavin (B2) 
(mg)","Niacin derived equivalents 
(mg)","Pantothenic acid (B5) 
(mg)","Pyridoxine (B6) 
(mg)","Biotin (B7) 
(ug)","Cobalamin (B12) 
(ug)","Dietary folate equivalents 
(ug)","Vitamin C 
(mg)","Vitamin D3 equivalents 
(ug)","Alpha tocopherol 
(mg)","Alpha tocotrienol 
(mg)","Beta tocopherol 
(mg)","Beta tocotrienol 
(mg)","Delta tocopherol 
(mg)","Delta tocotrienol 
(mg)","Gamma tocopherol 
(mg)","Gamma tocotrienol 
(mg)","Vitamin E 
(mg)","Total saturated fatty acids, equated (%T)","Total polyunsaturated fatty acids, equated (%T)","Total long chain omega 3 fatty acids, equated 
(%T)","Total undifferentiated fatty acids 
(%T)","Total trans fatty acids, imputed 
(%T)","Total saturated fatty acids, equated 
(g)","Total monounsaturated fatty acids, equated 
(g)","Total polyunsaturated fatty acids, equated 
(g)","Total long chain omega 3 fatty acids, equated 
(mg)","Total undifferentiated fatty acids, mass basis basis 
(mg)","Total trans fatty acids, imputed 
(mg)","Caffeine 
(mg)","Cholesterol 
(mg)"
F003819,24801,"Fennel, fresh, boiled, drained", $1.49 , $3.50 ,235,108,91,91.6,1.2,0.1,2.1,0,3.9,0,3.9,,,,,22,,,,,,0,0.11,,11,,,,,53,296,0.8,42,,,0.11,0,0.028,0.032,0.38,,0.04,,0,21,8,0,0.6,,,,,,,,0.65,,,,,,0,0,0,0,,0,0,0
F004263,23102,"Gravy powder, dry mix", $1.50 , $0.15 ,10,1311,1310,6.2,8.9,6.2,0.1,0,0.7,0.6,54.7,,,,,30,,10900,,0.24,0,1.4,1.1,,27,1.2,,,,175,129,8,6020,150,,0.6,0,0.31,0,3.38,0.25,0.11,3.4,0.6,14,0,0,0.2,,,,,,,,0.18,48.92,20.41,0,,1.2,2.89,1.74,1.21,0,,69.74,0,0
F008267,24401,"Silverbeet, fresh, raw", $1.50 , $4.50 ,300,66,50,93.2,1.5,0.2,2,0,1,0,1,,,,,72,,260,,0.08,0,7.3,2.3,,25,1.2,,,,37,260,0,195,,,0.5,258,0.03,0.12,0.57,0,0.81,1.4,0,65,21,0,0.2,,,,,,,,0.16,0,0,0,,0,0,0,0,0,,0,0,0
F008266,24401,"Silverbeet, fresh, boiled, drained", $1.50 , $4.50 ,300,77,59,91.9,1.8,0.2,2.3,0,1.2,0,1.2,,,,,80,,306,,0.094,0,6.9,2.57,,28,1.412,,,,37,260,0,218,,,0.56,288,0.028,0.127,0.67,0,0.71,1.6,0,46,14,0,0.2,,,,,,,,0.18,,,,,,0,0,0,0,,0,0,0
F006993,18103,"Pork, loin chop, untrimmed, raw", $1.50 , $15.00 ,1000,705,705,68.3,21.5,9.2,0,0,0,0,0,,,,,11,,59,,0.046,2.76,0,0.44,,24,0.008,,,,206,391,0.7,49,201,,1.19,2,0.691,0.141,10.52,0.72,0.31,2.6,0.3,32,0,0.96,0.2,,,,,,,,0.19,,,,,,3.53,4.12,0.94,14.883,,41.85,0,48
F006991,18103,"Pork, loin chop, untrimmed, BBQ'd, no added fat", $1.50 , $15.00 ,1000,930,930,58.3,28,12.2,0,0,0,0,0,,,1.2,0.1,16,0.3,105,,0.062,0.02,0.4,0.61,0.2,22,0.007,0,1.2,1,236,372,33.3,55,300,,1.64,2,0.781,0.144,14.1,0.82,0.27,4.4,0.3,18,0,1.06,0,,,,,,,,0.04,,,,,,4.64,5.42,1.36,36.874,,53.94,0,67
F007016,18103,"Pork, loin chop, separable fat, raw", $1.50 , $15.00 ,1000,2694,2694,23.8,7.9,69.2,0,0,0,0,0,,,,,16,,50,,0.032,25.02,0,0.29,,6,0.004,,,,91,104,6,24,50,,0.37,17,0.172,0.108,3.16,0.23,0.06,8.8,1.1,4,0,5.5,0.4,,,,,,,,0.36,41.38,9.8,0,,0.5,27.29,31.67,6.46,0,,329.74,0,46
F007015,18103,"Pork, loin chop, separable fat, BBQ'd, no added fat", $1.50 , $15.00 ,1000,2765,2765,21.4,8.8,70.7,0,0,0,0,0,,,1.2,0.1,17,0.3,70,,0.039,0.04,0.4,0.36,0.2,9,0.005,0,1.2,1,130,159,20.4,33,70,,0.43,17,0.21,0.113,4.9,0.37,0.07,9.7,1.1,8,0,6,0.4,,,,,,,,0.35,41.38,9.8,0,,0.5,27.88,32.35,6.6,0,,336.88,0,41
F007014,18103,"Pork, loin chop, semi-trimmed, raw", $1.50 , $15.00 ,1000,573,573,71.2,22.4,5.2,0,0,0,0,0,,,,,11,,60,,0.047,1.28,0,0.45,,25,0.008,,,,214,410,0.3,51,212,,1.24,1,0.726,0.143,11.01,0.76,0.33,2.2,0.2,34,0,0.66,0.2,,,,,,,,0.18,,,,,,1.96,2.28,0.58,15.872,,22.71,0,48
F007012,18103,"Pork, loin chop, semi-trimmed, BBQ'd, no added fat", $1.50 , $15.00 ,1000,790,790,61.1,29.5,7.8,0,0,0,0,0,,,1.2,0.1,16,0.3,108,,0.064,0.02,0.4,0.63,0.2,23,0.007,0,1.2,1,244,388,34.3,57,317,,1.73,1,0.825,0.146,14.8,0.86,0.28,4,0.3,19,0,0.68,0,,,,,,,,0.02,,,,,,2.87,3.37,0.96,39.68,,32.4,0,70
F007019,18103,"Pork, loin chop, lean, raw", $1.50 , $15.00 ,1000,461,461,73.8,23.2,1.8,0,0,0,0,0,,,,,11,,60,,0.048,0.03,0,0.46,,26,0.008,,,,220,426,0,52,220,,1.29,0,0.755,0.145,11.42,0.78,0.34,1.8,0.2,36,0,0.4,0.2,,,,,,,,0.17,38,16.3,1.02,,0.4,0.62,0.74,0.27,16.708,,6.55,0,48
F007017,18103,"Pork, loin chop, lean, BBQ'd, no added fat", $1.50 , $15.00 ,1000,687,687,63.2,30.6,4.5,0,0,0,0,0,,,1.2,0.1,16,0.3,110,,0.065,0.02,0.4,0.64,0.2,24,0.007,0,1.2,1,250,400,35,58,330,,1.8,0,0.857,0.148,15.32,0.88,0.3,3.7,0.2,20,0,0.4,0,,,,,,,,0,38,16.3,1.02,,0.4,1.56,1.84,0.67,41.769,,16.38,0,71
F009807,12514,"Muesli, granola, toasted, added nuts & seeds, unfortified", $1.50 , $7.50 ,500,1776,1715,4.1,11.2,17.6,7.6,0,16.3,14.8,52.3,75,,1,,67,,,,0.38,,5.9,3.1,0,110,2.3,,68,,320,360,4.8,68,,,1.8,0,0.31,0.02,2.97,0.14,0.06,,0,60,0,0,6.1,,0,,1.7,,8.4,,6.94,17.5,29.4,0,,0,2.93,8.63,4.92,0,,0,0,0
F005050,18102,"Lamb, mince, stir-fried, no added fat", $1.50 , $15.00 ,1000,729,729,64.3,24.4,8.5,0,0,0,0,0,,,,,11,,130,,0.1,100,1.2,5,,28,0,,,,206,291,10,74,130,,4.8,11,0.16,0.26,11.24,0.18,0.1,1.9,2.1,0,0,0.75,0.4,,0,,0,,0,,0.43,38.71,13.21,2.017,1.71,4,3.12,3.55,1.07,162.873,138,324.78,0,82
F005049,18102,"Lamb, mince, raw", $1.50 , $15.00 ,1000,602,602,71.6,20.4,6.9,0,0,0,0,0,,,,,13,,95,,0.09,100,1.2,1.77,,20,0,,,,195,270,0,57,120,,3.72,12,0.09,0.19,14.2,0.42,0.56,1.4,1.7,17,0,3,0.7,,0,,0,,0,,0.74,35.43,12.48,1.684,1.76,4.4,2.32,3.12,0.82,110.386,116,285.93,0,60
F002100,13303,"Cake, carrot, commercial, iced", $1.50 , $1.50 ,100,1620,1608,26,4.4,20.4,1.5,0,30.5,23.8,47.6,,,,,41,,200,,0.15,0,16.6,1.6,,25,0.56,,,,160,150,6,305,,,0.68,107,0.04,0,1.65,0.36,0,,0.2,0,0,0,3.2,,0.1,,0,,4.4,,3.69,23.78,29.3,0,,0.1,4.64,8.54,5.71,0,,11.7,0,43
F001653,12203,"Bread, pizza base, commercial", $1.50 , $1.50 ,100,1109,1088,34.8,8.6,3.3,2.7,0,3.7,0,48.5,230,,1.4,,70,,,,0.13,,38,0.94,0,28,0.66,,13,,98,140,9.8,390,,,0.69,0,0.76,0.05,2.63,0.24,0.03,,0.3,220,0,0,0.2,,0,,0,,0.3,,0.23,17.8,32.6,0,,0.2,0.52,1.36,0.96,0,,5.87,0,0
F008763,24401,"Spinach, water, fresh, raw", $1.50 , $6.00 ,400,110,88,92.2,2.9,0.5,2.8,0,0.5,0,1,,,,,68,,,,,,7.3,2.4,,29,,,,,52,460,0,25,,,0.2,202,0.01,0.15,1.61,,0.15,,0,225,28,0,1.6,,,,,,,,1.6,0,0,0,,0,0,0,0,0,,0,0,0
F008761,24401,"Spinach, Mature English, fresh, raw", $1.50 , $6.00 ,400,82,62,93,2.4,0.3,2.5,0,0.6,0,0.6,,,,,53,,170,,0.044,0,0,3.2,,68,0.78,,,,46,570,0,21,,,0.6,328,0.06,0.16,0.99,0,0.16,2.5,0,110,27,0,1.3,,,,,,,,1.3,0,0,0,,0,0,0,0,0,,0,0,0
F008760,24401,"Spinach, Mature English, fresh, boiled, drained", $1.50 , $6.00 ,400,97,74,91.7,2.8,0.4,2.9,0,0.7,0,0.7,,,,,59,,200,,0.052,0,0,3.58,,76,0.918,,,,46,570,0,23,,,0.67,366,0.056,0.169,1.16,0,0.14,2.9,0,78,17,0,1.4,,,,,,,,1.45,,,,,,0,0,0,0,,0,0,0
F008749,24401,"Spinach, baby, fresh, raw", $1.50 , $6.00 ,400,68,48,92.1,2.8,0,2.5,0,0,0,0,733.8,,0,3.1,93,22.3,,,0.128,,7.3,1.75,0,107,0.449,,4.2,,52,605,0,90,,,0.77,707,0.07,0.04,0.78,0.1,0.15,,0,162,25,0,1.6,,0,,0,,0.2,,1.62,0,0,0,,0,0,0,0,0,,0,0,0
F008116,18503,"Sausage, chicken, flavoured, fried, no added fat", $1.50 , $15.00 ,1000,841,836,61.6,18.2,12,0.6,0,0.8,0,4.9,,,,,19,,,,,,2.7,0.89,,25,,,,,197,224,23.2,844,,,1.44,31,0.185,0.221,8.03,,0.22,,0.5,3,0,4.8,0.5,,,,,,,,0.52,32.2,13.6,0,,0.6,3.67,6.11,1.55,0,,68.4,0,90
F005078,18102,"Lamb, roasting piece, shoulder, untrimmed, roasted, no added fat", $1.50 , $15.00 ,1000,1095,1095,54.7,26.2,17.5,0,0,0,0,0,,,,,6,,,,0.12,,0.9,1.81,,20,0,,,,185,237,0,59,,,5.26,16,0.067,0.209,9.7,0.55,0.22,,3.1,13,0,1.52,0.4,,0,,0,,0,,0.35,,,,,,7.78,6.62,0.92,88.534,239,1256.08,0,83
F005077,18102,"Lamb, roasting piece, shoulder, untrimmed, raw", $1.50 , $15.00 ,1000,894,894,63.8,16.5,16.6,0,0,0,0,0,,,,,6,,,,0.108,,0.9,1.79,,21,0,,,,205,283,7.7,46,,,4.36,14,0.077,0.201,7.4,0.62,0.25,,2.8,14,0,1.32,0.6,,0,,0,,0,,0.64,,,,,,7.09,6.12,1.03,107.197,152,1376.8,0,56
F005076,18102,"Lamb, roasting piece, shoulder, semi-trimmed, roasted, no added fat", $1.50 , $15.00 ,1000,859,859,59.6,28.2,10.2,0,0,0,0,0,,,,,6,,,,0.144,,1.1,2.04,,22,0,,,,206,263,0,65,,,6.13,11,0.081,0.252,9.76,0.62,0.24,,3.2,15,0,1.51,0.3,,0,,0,,0,,0.26,,,,,,4.32,3.9,0.64,76.806,139,707.34,0,85
F005075,18102,"Lamb, roasting piece, shoulder, semi-trimmed, raw", $1.50 , $15.00 ,1000,695,695,68.4,17.3,10.8,0,0,0,0,0,,,,,7,,,,0.123,,1,1.98,,24,0,,,,226,309,8.8,49,,,4.89,12,0.088,0.219,7.93,0.65,0.27,,2.7,15,0,1.4,0.6,,0,,0,,0,,0.58,,,,,,4.48,4.07,0.8,102.521,112,825.18,0,55
F005067,18102,"Lamb, roasting piece, shoulder, lean, roasted, no added fat", $1.50 , $15.00 ,1000,703,703,62.9,29.6,5.4,0,0,0,0,0,,,,,6,,120,,0.16,60,1.2,2.2,,24,0,,,,220,280,0,69,140,,6.7,8,0.09,0.28,9.8,0.66,0.26,1.9,3.2,17,0,1.5,0.2,,0,,0,,0,,0.2,41.19,9.3,1.396,1.48,7,2.04,2.1,0.46,69.052,73,344.52,0,86
F005074,18102,"Lamb, roasting piece, shoulder, lean, raw", $1.50 , $15.00 ,1000,468,468,73.6,18.2,4.3,0,0,0,0,0,,,,,7,,130,,0.14,50,1.2,2.2,,26,0,,,,250,340,10,53,130,,5.5,9,0.1,0.24,8.53,0.68,0.29,1.2,2.7,17,0,1.5,0.5,,0,,0,,0,,0.51,38.15,13.83,2.467,1.68,4.9,1.5,1.72,0.54,97.17,66,193.95,0,54
F005073,18102,"Lamb, roasting piece, leg or mini roast, untrimmed, roasted, no added fat", $1.50 , $15.00 ,1000,908,908,58.6,27.5,11.9,0,0,0,0,0,,,,,5,,,,0.148,,1,2.4,,24,0.007,,,,258,267,26.2,57,,,4.48,12,0.126,0.288,9.66,0.44,0.06,,2.3,15,0,1.51,0.3,,0,,0,,0,,0.32,,,,,,4.96,4.59,0.91,112.091,172,692.41,0,81
F005072,18102,"Lamb, roasting piece, leg or mini roast, untrimmed, raw", $1.50 , $15.00 ,1000,784,784,66.4,19.9,12,0,0,0,0,0,,,,,5,,,,0.097,,1,1.89,,23,0.006,,,,199,289,17,59,,,3.26,12,0.11,0.189,7.04,0.85,0.1,,1.1,15,0,2.65,0.5,,0,,0,,0,,0.5,,,,,,4.98,4.61,0.78,73.161,120,938.36,0,69
F005071,18102,"Lamb, roasting piece, leg or mini roast, semi-trimmed, roasted, no added fat", $1.50 , $15.00 ,1000,810,810,60.6,28.4,8.8,0,0,0,0,0,,,,,5,,,,0.159,,1.1,2.52,,25,0.007,,,,272,278,28.1,59,,,4.74,10,0.136,0.309,9.68,0.46,0.05,,2.3,16,0,1.51,0.3,,0,,0,,0,,0.29,,,,,,3.51,3.46,0.8,109.646,132,452.83,0,82
F005070,18102,"Lamb, roasting piece, leg or mini roast, semi-trimmed, raw", $1.50 , $15.00 ,1000,633,633,69.9,20.8,7.6,0,0,0,0,0,,,,,5,,,,0.107,,1.1,2.03,,25,0.007,,,,214,309,18.6,62,,,3.53,10,0.121,0.2,7.38,0.89,0.1,,0.9,16,0,2.84,0.4,,0,,0,,0,,0.45,,,,,,2.93,3.01,0.6,66.316,89,505.71,0,70
F005069,18102,"Lamb, roasting piece, leg or mini roast, lean, roasted, no added fat", $1.50 , $15.00 ,1000,711,711,62.7,29.2,5.8,0,0,0,0,0,,,,,5,,110,,0.17,100,1.2,2.65,,26,0.008,,,,285,290,30,62,130,,5,8,0.145,0.33,9.7,0.47,0.05,1.8,2.2,17,0,1.5,0.2,,0,,0,,0,,0.25,,,,,,2.06,2.34,0.7,107.159,91,213.68,0,82
F005068,18102,"Lamb, roasting piece, leg or mini roast, lean, raw", $1.50 , $15.00 ,1000,512,512,72.8,21.5,4,0,0,0,0,0,,,,,5,,98,,0.115,110,1.2,2.15,,26,0.008,,,,225,325,20,66,110,,3.75,9,0.13,0.21,7.65,0.92,0.1,2,0.8,17,0,3,0.4,,0,,0,,0,,0.4,,,,,,1.28,1.72,0.45,60.93,64,157.82,0,70
F005055,18102,"Lamb, mini roast, untrimmed, roasted, no added fat", $1.50 , $15.00 ,1000,858,858,60.2,26.5,11,0,0,0,0,0,,,,,5,,,,0.151,,1.1,2.47,,22,0,,,,213,252,26.6,55,,,4.28,11,0.133,0.302,9.62,0.44,0.06,,2.4,15,0,1.51,0.4,,0,,0,,0,,0.36,,,,,,4.56,4.26,0.86,108.281,160,629.45,0,84
F005054,18102,"Lamb, mini roast, semi-trimmed, roasted, no added fat", $1.50 , $15.00 ,1000,779,779,61.9,27.1,8.6,0,0,0,0,0,,,,,5,,,,0.159,,1.1,2.57,,23,0,,,,221,260,28.1,56,,,4.47,10,0.14,0.318,9.63,0.46,0.05,,2.3,16,0,1.51,0.3,,0,,0,,0,,0.33,,,,,,3.42,3.37,0.78,106.147,128,442.01,0,84
F005053,18102,"Lamb, mini roast, lean, roasted, no added fat", $1.50 , $15.00 ,1000,680,680,64,27.8,5.6,0,0,0,0,0,,,,,5,,110,,0.17,100,1.2,2.7,,24,0,,,,230,270,30,58,130,,4.7,8,0.15,0.34,9.64,0.47,0.05,1.8,2.3,17,0,1.5,0.3,,0,,0,,0,,0.3,38.71,13.21,2.017,1.71,4,1.98,2.26,0.68,103.464,88,206.31,0,85
F005018,18102,"Lamb, leg roast, untrimmed, roasted, no added fat", $1.50 , $15.00 ,1000,958,958,57,28.5,12.8,0,0,0,0,0,,,,,6,,,,0.146,,1,2.32,,26,0.014,,,,303,281,25.7,60,,,4.68,12,0.12,0.274,9.71,0.44,0.06,,2.3,15,0,1.51,0.3,,0,,0,,0,,0.29,,,,,,5.37,4.93,0.95,115.902,185,755.38,0,79
F005017,18102,"Lamb, leg roast, untrimmed, raw", $1.50 , $15.00 ,1000,786,786,65.7,19.4,12.3,0,0,0,0,0,,,,,6,,,,0.108,,1,1.82,,26,0.012,,,,209,306,16.6,60,,,3.5,13,0.108,0.186,6.97,0.84,0.1,,1.2,14,0,2.61,0.5,,0,,0,,0,,0.52,,,,,,5.19,4.66,0.75,64.709,116,1001.92,0,69
F005016,18102,"Lamb, leg roast, semi-trimmed, roasted, no added fat", $1.50 , $15.00 ,1000,840,840,59.4,29.7,9.1,0,0,0,0,0,,,,,6,,,,0.159,,1.1,2.47,,28,0.015,,,,323,297,28,62,,,5.02,10,0.131,0.299,9.74,0.46,0.05,,2.2,16,0,1.51,0.2,,0,,0,,0,,0.24,,,,,,3.6,3.56,0.83,113.146,135,463.64,0,80
F005015,18102,"Lamb, leg roast, semi-trimmed, raw", $1.50 , $15.00 ,1000,604,604,69.8,20.4,7,0,0,0,0,0,,,,,6,,,,0.121,,1.1,1.98,,28,0.014,,,,227,332,18.6,65,,,3.85,10,0.121,0.2,7.37,0.89,0.1,,0.9,16,0,2.84,0.4,,0,,0,,0,,0.45,,,,,,2.74,2.74,0.52,55.664,78,486.81,0,70
F005014,18102,"Lamb, leg roast, lean, roasted, no added fat", $1.50 , $15.00 ,1000,742,742,61.4,30.6,6,0,0,0,0,0,,,,,6,,110,,0.17,100,1.2,2.6,,29,0.016,,,,340,310,30,65,130,,5.3,8,0.14,0.32,9.76,0.47,0.05,1.8,2.2,17,0,1.5,0.2,,0,,0,,0,,0.2,38.71,13.21,2.017,1.71,4,2.13,2.42,0.73,110.854,94,221.05,0,80
F005013,18102,"Lamb, leg roast, lean, raw", $1.50 , $15.00 ,1000,477,477,72.7,21.1,3.2,0,0,0,0,0,,,,,6,,98,,0.13,110,1.2,2.1,,30,0.015,,,,240,350,20,68,110,,4.1,9,0.13,0.21,7.64,0.92,0.1,2,0.8,17,0,3,0.4,,0,,0,,0,,0.4,35.43,12.48,1.684,1.76,4.4,1.04,1.4,0.36,49.361,52,127.86,0,71
F007639,12103,"Rice paper wrapper, soaked in water", $1.53 , $1.53 ,100,646,636,59.1,3.3,0.9,1,0,0.2,0,32.2,,,,,4,,1243,,,,5.4,0.23,,32,,,,,91,65,6.4,766,,,0.66,0,0.094,0.002,2.23,,0.07,,0,13,0,0,0.3,,,,,,,,0.29,,,,,,0.15,0.29,0.32,0,,0,0,0
F007608,24302,"Radish, white skinned, peeled, raw", $1.56 , $3.90 ,250,86,72,92.9,0.7,0.3,1.8,0,2.9,0,2.9,,,,,30,,,,,,0,0.3,,13,,,,,23,210,0.7,28,,,0.5,7,0.03,0.01,0.86,,0.05,,0,28,17,0,0,,,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F007606,24302,"Radish, red skinned, unpeeled, raw", $1.56 , $3.90 ,250,62,53,94.9,0.8,0.2,1.1,0,1.9,0,1.9,,,,,25,,,,,,0,1.1,,9,,,,,20,180,0.6,20,,,0.2,2,0.03,0.03,0.58,,0.07,,0,25,23,0,0,,,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F000155,24402,"Asparagus, green, raw", $1.56 , $3.90 ,250,88,71,92.8,2.5,0.1,2.2,0,1.4,0,1.4,,,,,11,,80,,0.07,0,0,1,,15,0.19,,,,43,320,0,2,,,0.2,26,0.15,0.12,1.52,0.15,0.1,4.2,0,99,15,0,0.5,,,,,,,,0.52,0,0,0,,0,0,0,0,0,,0,0,0
F000151,24402,"Asparagus, green, boiled, drained", $1.56 , $3.90 ,250,104,83,91.5,2.9,0.1,2.5,0,1.6,0,1.6,,,,,12,,94,,0.082,0,0,1.12,,17,0.224,,,,46,339,0,2,,,0.22,28,0.141,0.127,1.79,0.18,0.09,4.9,0,76,13,0,0.6,,,,,,,,0.58,,,,,,0,0,0,0,,0,0,0
F009606,31101,"Yeast, dry powder", $1.57 , $1.57 ,100,1126,910,6,36.4,5,26.9,0,0,0,6.3,,,,,18,,310,,0.57,31,5.5,3.5,,95,0.28,,,,860,1470,1,170,320,,18,0,0.59,0.12,34.13,4.3,0.82,200,0,2340,0,0,0,,,,,,,,0,18.79,0.32,0,,0,0.75,3.24,0.01,0,,0,0,0
F002472,19401,"Cheese, mozzarella", $1.57 , $15.71 ,1000,1213,1213,47.5,22.2,22.1,0,0,0,0,0,12.8,,,0,685,0.5,,,0.026,,28.8,0.06,,28,0.032,,0,,515,79,8.5,522,200,,3.12,146,0,0.23,4.76,0.17,0,,1,48,0,0.1,2.1,,0,,0,,0,,2.1,68.8,2.5,0.2,,3.2,14.37,5.2,0.52,41.769,,668.3,0,71
F009790,18903,"Chicken, schnitzel, baked without fat", $1.58 , $15.83 ,1000,868,855,57.2,16.5,9.6,1.7,0,2.1,2.1,13.1,1649.8,,0,,8,,,,0.056,,9.6,0.5,0,25,0.221,,5.7,,204,332,16.5,529,,,0.59,6,0.13,0.048,8.25,0.89,0.14,,0.1,16,0,0,1.6,,0,,0,,1.9,,1.75,14.38,30.41,0.5,,1,1.3,4.59,2.75,45.183,,87.11,0,39
F008785,31102,"Spread, yeast, vegemite", $1.59 , $1.59 ,100,683,631,40.9,24.4,0.9,6.5,0,1.6,0,10.9,263.3,,14.6,0.5,68,6.4,,,0.251,,8.8,4.03,0,130,0.277,0,46.6,,880,2122,27,3000,220,,4.26,0,22.778,17.111,128.5,4.6,0.06,,0,4031,0,0,0,,0,,0,,0,,0,18.79,0.32,0,,0,0.14,0.58,0,0,,0,0,0
F007599,12101,"Quinoa, white, uncooked", $1.60 , $8.00 ,500,1572,1487,11.5,12.2,6.3,10.5,0,4.2,0,61.8,,,,,48,,,,,,0.5,3.6,,197,,,,,411,563,7,8,,,3.1,1,0.41,0.02,2.45,,0.4,,0,184,0,0,1.8,,,,,,,,1.8,12.7,52.4,0.749,,0,0.72,1.89,2.97,42.468,,0,0,0
F007598,12101,"Quinoa, uncooked", $1.60 , $8.00 ,500,1550,1452,11.9,12.9,6.5,12,0,4.7,0,58.6,,,,,47,,,,,,0.5,3.88,,188,,,,,400,563,4.8,7,,,3.27,1,0.337,0.023,2.58,,0.38,,0,184,0,0,2.1,,,,,,,,2.13,,,,,,0.76,1.92,3.13,44.789,,0,0,0
F007597,12101,"Quinoa, red, uncooked", $1.60 , $8.00 ,500,1538,1424,12.4,14.1,6.9,13.8,0,5.8,0,55,,,,,41,,,,,,0.5,4.3,,168,,,,,377,563,0,4,,,3.6,1,0.27,0.03,2.83,,0.3,,0,184,0,0,2.8,,,,,,,,2.8,13,55.1,0.788,,0,0.81,1.98,3.42,48.935,,0,0,0
F007596,12101,"Quinoa, cooked in water, no added salt", $1.60 , $8.00 ,500,432,404,75.4,3.6,1.8,3.4,0,1.3,0,16.3,,,,,14,,,,,,0.7,1.08,,53,,,,,112,157,1.3,4,,,0.91,0,0.075,0.006,0.72,,0.1,,0,36,0,0,0.6,,,,,,,,0.56,,,,,,0.21,0.53,0.87,12.48,,0,0,0
F007593,12101,"Quinoa, black, uncooked", $1.60 , $8.00 ,500,1455,1323,12.6,13.1,6.6,16.1,0,4.3,0,50.6,,,,,58,,,,,,0.5,4.3,,196,,,,,408,563,6,6,,,3.3,1,0.1,0.02,2.63,,0.5,,0,184,0,0,2.1,,,,,,,,2.1,13.6,54.5,0.779,,0,0.81,1.89,3.24,46.273,,0,0,0
F007072,18103,"Pork, round mini roast, untrimmed, raw", $1.60 , $16.00 ,1000,472,472,73.8,23.4,2,0,0,0,0,0,,,,,4,,60,,0.084,0,0.8,0.83,,24,0.009,,,,237,386,18.8,50,226,,2.57,0,0.84,0.219,10.62,1.18,0.34,2.8,0.7,37,0,0.5,0.2,,,,,,,,0.16,,,,,,0.66,0.82,0.33,11.51,,8.17,0,68
F007071,18103,"Pork, round mini roast, untrimmed, baked, no added fat", $1.60 , $16.00 ,1000,699,699,63.5,34.5,3,0,0,0,0,0,,,1.2,0.1,6,0.3,50,,0.11,0,0.8,1.35,0.2,27,0.01,0,1.2,1,248,434,30.9,54,257,,3.67,0,0.857,0.309,11.31,1.34,0.3,3.2,0.7,2,0,0.47,0,,,,,,,,0,,,,,,0.99,1.23,0.57,23.582,,11.8,0,89
F007074,18103,"Pork, round mini roast, separable fat, raw", $1.60 , $16.00 ,1000,1842,1842,43.6,11.3,44.6,0,0,0,0,0,,,,,5,,60,,0.037,0,0.8,0.64,,12,0.005,,,,100,200,7.3,38,50,,0.94,24,0.33,0.17,6.34,0.4,0.18,2.8,1,3,0,5.5,0.5,,,,,,,,0.51,37.7,13.9,0.2,,0.5,16.02,20.27,5.91,85.008,,212.52,0,76
F007073,18103,"Pork, round mini roast, separable fat, baked, no added fat", $1.60 , $16.00 ,1000,1961,1961,38.4,16.3,45.5,0,0,0,0,0,,,1.2,0.1,6,0.3,90,,0.076,0,0.8,1.45,0.2,22,0.011,0,1.2,1,100,345,22.8,54,50,,1.55,19,0.64,0.25,5.54,0.9,0.22,7.5,1,7,0,6,0.4,,,,,,,,0.43,37.7,13.9,0.2,,0.5,16.35,20.68,6.03,86.723,,216.81,0,65
F007077,18103,"Pork, round mini roast, lean, raw", $1.60 , $16.00 ,1000,444,444,74.4,23.7,1.1,0,0,0,0,0,,,,,4,,60,,0.085,0,0.8,0.83,,24,0.009,,,,240,390,19,50,230,,2.6,0,0.85,0.22,10.7,1.2,0.34,2.8,0.7,38,0,0.4,0.2,,,,,,,,0.15,34.8,22,1,,0.4,0.35,0.43,0.22,10.01,,4,0,68
